

剛  刚
輸  输
賦  赋
黏  粘
鄰  邻

輕 轻
鬆 松

價 价
鍵 键

愈 越
撐 撑
輕 轻
態 态





鍵結 键结
細胞 细胞
嘗試 尝试

見 见
佔 占
夠 够



卻 却
氫 氢

邊 边
負 负











沒   没



強   强
纖   纤
殘   残
標準 标准


號  号
產  产


塊   块
屬   属



簡   简

鐘   钟
賽   赛
攝   摄
華   华

豐   丰
軌   轨
彎   弯


鐵   铁
譯   译
註   注

記   记
創   创


長   长
約   约
築   筑



製    制
眾    众


溫  温
際  际




遠   远
紀   记
錄   录



業  业
圓  圆


儀   仪
偉   伟


擊   击
機   机
場   场



衛   卫
徑   径
環   环
說   说


東   东
樹   树
現   现
開   开


級  级
較  较
遺  遗
幾   几
塵   尘

問    问
斷    断

繼   继
續   续 


軸   轴

襲   袭
聞   闻
報   报
導   导

質   质
離   离




團   团
談   谈
論   论

騎   骑
實   实
應   应

斷   断
於   于


變   变
熱   热
帶   带



後   后
種   种
億   亿
線   线



雲   云


選   选

圍   围
繞   绕

讓   让


風   风


區   区
壓   压


層   层
進   进
運   运
氣   气


會   会
兩   两
軟   软


國   国
僅   仅
們   们



恆   恒
獲   获
雖   虽
頭   头



詞   词
臘   腊
還   还
稱   称
礎   础



從    从
數    数
萬    万

計    计
極    极
體    体
這    这
裡    里

麼    么
樂    乐
單    单
礦    矿
陽    阳
轉    转
換    换

狀    状
為    为
飽    饱
親    亲
雜    杂
殼    壳
對    对

隻    只
過    过
設    设
動    动
畫    画
誰    谁

連    连
網    网
複    复
雜    杂

類    类
啟    启
發    发
電    电
異    异




個    个
獵    猎
傳    传
藍    蓝

兒    儿
們    们
學    学

與    与
當    当
許    许
時    时

將    将
遊    游
間    间

針    针
樣    样
寶    宝
獨    独


驚    惊
夢    梦
處    处



養    养
愛    爱

歡    欢
蟲    虫

艱    艰
難    难

來    来
滿    满






